year,journal,title_length,cites
2007,Nano Lett,127,1133
2007,Circulation,119,1127
2007,Nature,76,1125
2007,Biochemical Journal,62,1123
2007,J Clin Oncol,200,1118
2007,Advanced Materials,59,1117
2007,American Journal of Psychiatry,81,1115
2007,Nature,73,1113
2007,Science,70,1112
2007,Journal of Experimental Medicine,145,1111
2007,New Eng J Med,71,1111
2007,Annual Review of Psychology,18,1099
2007,J Clin Invest,77,1098
2007,Gastroenterology,97,1097
2007,Nature,72,1095
2007,Chemical Reviews,47,1091
2007,Science,78,1088
2007,J Phys Chem C,88,1085
2007,Nature Biotechnology,31,1084
2007,Nature,91,1084
2007,Lancet,170,1067
2007,Journal of Biological Chemistry,116,1065
2007,Journal of Molecular Modeling,122,1064
2007,Nature Reviews Drug Discovery,57,1056
2007,Biological Psychiatry,96,1054
2007,Astronomy and Astrophysics,41,1047
2007,New Eng J Med,48,1046
2007,Science,64,1038
2007,J Clin Oncol,179,1036
2007,Science,55,1035
2007,Gastroenterology,35,1034
2007,Cell,97,1032
2007,New Eng J Med,88,1022
2007,Nature,89,1022
2007,Nature Genetics,107,1022
2007,Computer Networks,47,1011
2007,Acta Materialia,39,1008
2007,Cell Stem Cell,115,1007
2007,Nature Protocols,82,1007
2007,Science,55,1006
2007,IEEE Journal on Selected Topics in Signal Processing,107,1004
2007,Nature Immunology,91,998
2007,New Eng J Med,67,998
2007,Nature Materials,55,997
2007,Nucleic Acids Research,113,994
2007,Journal of Neuroscience,89,987
2007,Journal of Physical Chemistry B,74,981
2007,Journal of Thoracic Oncology,176,978
2007,PNAS,25,977
2007,Strategic Management Journal,105,974
2007,Bioinformatics,137,969
2007,New Eng J Med,58,968
2007,Nature,85,963
2007,Lancet,197,962
2007,Cancer Cell,130,962
2007,Nature Materials,72,960
2007,Nature,76,959
2007,Journal of Clinical Epidemiology,89,955
2007,Information Sciences,23,954
2007,Nature,91,951
2007,New Eng J Med,69,950
2007,Lancet,80,950
2007,Nano Lett,52,949
2007,Lancet,97,949
2007,Nature Genetics,86,947
2007,Journal of Global Optimization,109,944
2007,Hydrology and Earth System Sciences,62,939
2007,Cell Stem Cell,108,937
2007,Nano Lett,86,936
2007,New Eng J Med,80,936
2007,Nano Lett,71,935
2007,IEEE Transactions on Pattern Analysis and Machine Intelligence,80,934
2007,Chemical Society Reviews,43,932
2007,Transactions of the ASABE,94,927
2007,Nature Immunology,107,926
2007,Molecular Ecology Notes,48,925
2007,Nature Immunology,147,923
2007,New Eng J Med,48,918
2007,Nature Genetics,131,917
2007,Molecular Ecology Notes,99,915
2007,PNAS,116,914
2007,Reviews of Modern Physics,34,912
2007,Phys Rev Lett,42,910
2007,"Nanomedicine: Nanotechnology, Biology, and Medicine",45,907
2007,Cancer Cell,47,905
2007,Science,70,904
2007,Structural Equation Modeling,118,902
2007,Nano Lett,54,901
2007,Journal of the American Medical Association,154,901
2007,Journal of Bone and Mineral Research,95,900
2007,Cell,82,899
2007,Nature Genetics,117,897
2007,Journal of the American Medical Association,98,896
2007,Nature,90,896
2007,Reviews of Geophysics,36,894
2007,PNAS,110,890
2007,Diabetes,62,889
2007,IEEE Transactions on Image Processing,70,882
2007,Nature Genetics,105,881
2007,IEEE Journal on Selected Areas in Communications,99,878
2007,Science,79,874
2007,Applied and Environmental Microbiology,152,874
2007,Molecular Cell,94,871
2007,Nature,73,870
2007,International Journal of Computer Vision,101,869
2007,Lancet,151,867
2007,New Eng J Med,68,866
2007,Lancet,121,864
2007,Journal of Leukocyte Biology,59,864
2007,Genome biology,126,860
2007,PNAS,65,860
2007,IEEE Journal on Selected Areas in Communications,66,859
2007,Nature,69,858
2007,Journal of Experimental Medicine,54,856
2007,Nature,39,854
2007,Nature Photonics,39,853
2007,Clinical Cancer Research,75,852
2007,Science,89,850
2007,Cell,70,850
2007,Nature Biotechnology,119,849
2007,Lancet,160,849
2007,Advances in Physics,89,848
2007,IEEE Control Systems Magazine,57,847
2007,New Eng J Med,78,847
2007,Cell,86,846
2007,Science,79,842
2007,Bulletin of the World Health Organization,78,841
2007,Nature Materials,81,841
2007,Nature Medicine,84,841
2007,Nature Medicine,108,840
2007,Journal of Experimental Medicine,112,840
2007,Chemical Society Reviews,79,840
2007,Public Health Reports,79,837
2007,Nature,90,836
2007,Gastroenterology,111,836
2007,Journal of Physical Chemistry A,61,833
2007,Heart Rhythm,350,832
2007,Nature Biotechnology,64,831
2007,Nature,58,829
2007,Journal of the American Medical Association,110,828
2007,Nature Genetics,121,828
2007,Web Semantics,35,828
2007,New Eng J Med,67,827
2007,Nature Photonics,35,827
2007,Advanced Materials,67,826
2007,Journal of the American Medical Association,115,825
2007,Nature Immunology,54,824
2007,New Eng J Med,75,823
2007,IEEE Transactions on Pattern Analysis and Machine Intelligence,38,823
2007,Journal of Chemical Information and Modeling,67,823
2007,Alzheimer's and Dementia,52,821
2007,Smart Materials and Structures,70,820
2007,Fuel,64,817
2007,Lancet,93,815
2007,Science,74,814
2007,Lancet,98,812
2007,Science,74,811
2007,Science,58,806
2007,Nature Materials,51,802
2007,Science,82,800
2007,Science,80,799
2007,Circulation,397,798
2007,Cell,57,798
2007,Scandinavian Political Studies,104,798
2007,Nature Immunology,99,797
2007,Cell,92,795
2007,Journal of Chemical Physics,45,794
2007,Science,79,793
2007,NeuroImage,88,790
2007,Annals of the ICRP,106,787
2007,International Journal of Cancer,122,784
2007,Science,69,784
2007,Hypertension,98,782
2007,Nature Genetics,95,780
2007,Nature,81,778
2007,Science,77,778
2007,Astrophys J,131,778
2007,Science,70,778
2007,Journal of Applied Crystallography,112,777
2007,Journal of Computational Chemistry,94,774
2007,Lancet,208,773
2007,Nature Materials,91,771
2007,Lancet,140,771
2007,Annals of Statistics,73,768
2007,Archives of General Psychiatry,108,765
2007,Nature,90,763
2007,Nature,87,762
2007,Archives of General Psychiatry,193,760
2007,Journal of the American Medical Association,132,754
2007,Science,34,753
2007,Science,76,753
2007,Nature Genetics,77,749
2007,British Medical Journal,93,748
2007,IEEE/OSA Journal of Display Technology,78,745
2007,PNAS,130,745
2007,Reviews of Modern Physics,43,742
2007,Nature Genetics,61,741
2007,Science,97,736
2007,New Eng J Med,78,736
2007,Clinical Cancer Research,85,734
2007,Science,52,732
2007,J Am Coll Cardiol,134,732
2007,Nature Genetics,95,731
2007,Lancet,230,730
2007,Nature,45,728
2007,Trends in Cognitive Sciences,29,727
2007,Cell,98,726
2007,MNRAS,43,726
2007,Lancet,158,724
2007,Quality and Quantity,65,723
2007,Lancet,91,723
2007,New Eng J Med,58,722
2007,Nucleic Acids Research,63,722
2007,Chemical Society Reviews,93,722
2007,J Clin Oncol,64,721
2007,Science,66,719
2007,Journal of the American Medical Association,62,718
2007,Circulation,80,718
2007,Lancet,103,714
2007,NeuroImage,69,713
2007,Mycological Research,55,713
2007,Archives of Internal Medicine,94,711
2007,Nature,79,711
2007,American Journal of Clinical Nutrition,88,711
2007,Science,96,711
2007,Lancet,164,710
2007,Environmental and Experimental Botany,81,710
2007,Nature,86,709
2007,Circulation,103,707
2007,Nucleic Acids Research,42,707
2007,Nature Medicine,41,707
2007,Computer Networks,47,706
2007,Nature Materials,34,705
2007,Nature Nanotechnology,79,705
2007,Nature Photonics,83,704
2007,Oncogene,28,704
2007,Nano Lett,123,701
2007,PNAS,67,701
2007,Nature,68,700
2007,Nature Medicine,70,700
2007,Gastroenterology,285,699
2007,Nature,85,698
2007,Nano Lett,37,698
2007,Cell,101,697
2007,Advanced Materials,84,697
2007,New Eng J Med,79,696
2007,Nature Reviews Drug Discovery,77,694
2007,New Eng J Med,71,694
2007,Science,58,692
2007,New Eng J Med,61,692
2007,Physica E: Low-Dimensional Systems and Nanostructures,32,691
2007,J Clin Oncol,155,690
2007,Nature Genetics,79,689
2007,Nature,72,689
2007,Geophysical Research Letters,44,687
2007,Nature,62,685
2007,New Eng J Med,85,685
2007,PNAS,108,684
2007,Molecular Cell,40,682
2007,Cell,99,682
2007,New Eng J Med,74,680
2007,Systematic Biology,115,679
2007,New Eng J Med,75,677
2007,Molecular Biology and Evolution,72,677
2007,Analytical and Bioanalytical Chemistry,63,676
2007,Solar Physics,41,676
2007,Journal of the Meteorological Society of Japan,21,676
2007,Gastroenterology,27,676
2007,Chemical Society Reviews,127,674
2007,Circulation,134,674
2007,PNAS,134,671
2007,Ecology Letters,123,669
2007,Nature Biotechnology,75,668
2007,Journal of Experimental Medicine,107,666
2007,Reviews of Modern Physics,53,665
2007,Cell,92,664
2007,Nature,67,662
2007,Nature Methods,73,661
2007,EMBO Journal,98,661
2007,Nature protocols,76,659
2007,American Journal of Roentgenology,75,658
2007,Nature Methods,115,657
2007,Science,83,657
2007,Nature Reviews Drug Discovery,71,657
2007,Chemical Society Reviews,71,657
2007,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,118,657
2007,IEEE Journal on Selected Topics in Signal Processing,71,656
2007,Computer,42,655
2007,Cancer Research,43,655
2007,Cell,72,655
2007,Nature,88,655
2007,Science,90,655
2007,Nature Photonics,46,655
2007,Nature Genetics,95,654
2007,Nucleic Acids Research,108,654
2007,Journal of the American Medical Association,89,652
2007,Cancer Cell,123,651
2007,Lancet,114,651
2007,Journal of Neuroscience,158,650
2007,J Clin Oncol,161,650
2007,Bioinformatics,61,649
2007,J Am Coll Cardiol,213,646
2007,Advanced Functional Materials,103,643
2007,Nucleic Acids Research,35,643
2007,Computer,68,642
2007,Genome Research,34,642
2007,J Am Chem Soc,112,640
2007,Journal of the American Medical Association,105,640
2007,Cancer Cell,50,640
2007,PNAS,126,639
2007,Angew Chem Int Ed,106,639
2007,Lancet Oncology,110,639
2007,Nature Genetics,87,638
2007,Nature Nanotechnology,89,638
2007,Science,93,635
2007,Circulation,111,635
2007,Ecosystems,94,635
2007,New Eng J Med,74,634
2007,Science,80,634
2007,Nature Immunology,84,633
2007,IEEE Transactions on Communications,63,633
2007,Nature,85,632
2007,New Eng J Med,68,632
2007,Nucleic Acids Research,84,632
2007,New Eng J Med,78,630
2007,Journal of Thrombosis and Haemostasis,158,630
2007,Nature Protocols,97,629
2007,Nature,90,629
2007,Phys Rev Lett,86,626
2007,Nature,78,626
2007,Nature Medicine,109,626
2007,Nature Physics,18,626
2007,Science,52,626
2007,Nature Immunology,148,626
2007,Science,101,625
2007,Genome Biology,61,624
2007,Inverse Problems,48,624
2007,Nature Nanotechnology,100,624
2007,New Eng J Med,67,622
2007,IEEE Transactions on Knowledge and Data Engineering,30,622
2007,Computer Communications,62,621
2007,Journal of the American Medical Association,85,621
2007,Nature,57,620
2007,PLoS biology,102,620
2007,Nature,87,618
2007,Nature Medicine,100,618
2007,Annals of Internal Medicine,130,618
2007,Journal of the American Medical Association,81,616
2007,Cancer,237,616
2007,Nature Immunology,109,615
2007,Systematic Biology,41,615
2007,Materials Today,42,615
2007,Journal of the American Medical Association,120,614
2007,Nature,58,613
2007,Advanced Functional Materials,77,612
2007,Nature Genetics,74,611
2007,Nature Protocols,99,610
2007,Molecular Systems Biology,56,609
2007,Science,70,609
2007,Nature Genetics,125,609
2007,New Eng J Med,77,608
2007,Science,88,608
2007,Immunity,72,608
2007,Nucleic Acids Research,99,608
2007,Reviews of Modern Physics,48,606
2007,Advanced Materials,58,605
2007,Nature,63,603
2007,Nature,83,603
2007,IEEE Transactions on Automatic Control,40,602
2007,Annals of Neurology,95,600
2007,Biological Psychiatry,138,598
2007,Clinical Chemistry,151,597
2007,Journal of Physics D: Applied Physics,47,596
2007,New Eng J Med,83,596
2007,Science,77,594
2007,Molecular Cell,75,594
2007,BMC Bioinformatics,63,593
2007,PNAS,99,593
2007,Human Mutation,148,592
2007,J Phys Chem C,76,590
2007,Nature Immunology,106,590
2007,J Clin Oncol,158,590
2007,Clinical Cancer Research,74,589
2007,IEEE Transactions on Evolutionary Computation,70,587
2007,Biophysical Journal,100,587
2007,Nature,78,587
2007,Journal of Biogeography,121,587
2007,J Clin Oncol,141,586
2007,PLoS biology,51,586
2007,Diabetes Care,136,586
2007,IEEE Transactions on Pattern Analysis and Machine Intelligence,53,586
2007,Nature,83,586
2007,Nano Lett,94,585
2007,Nano Lett,83,585
2007,Science,96,585
2007,New Eng J Med,73,584
2007,Science,83,584
2007,American Journal of Human Genetics,119,583
2007,Chemical Society Reviews,68,582
2007,Nature,72,582
2007,Automatica,67,582
2007,Developmental Medicine and Child Neurology,72,579
2007,"Astrophys J, Supplement Series",89,578
2007,Gastroenterology,45,578
2007,IEEE Transactions on Wireless Communications,69,577
2007,J Clin Oncol,125,577
2007,New Eng J Med,79,577
2007,Information Sciences,27,577
2007,New Eng J Med,64,576
2007,Nature Genetics,44,575
2007,Lancet,157,575
2007,ISME Journal,64,575
2007,Nature,32,575
2007,Science,65,575
2007,Developmental Psychology,38,574
2007,"Journal of Trauma - Injury, Infection and Critical Care",128,572
2007,J Am Chem Soc,93,572
2007,IEEE Transactions on Knowledge and Data Engineering,36,572
2007,Nature,19,571
2007,New Eng J Med,75,570
2007,Cancer,51,570
2007,Science,80,569
2007,European Radiology,62,568
2007,Stroke,72,568
2007,J Clin Oncol,172,568
2007,Physical Chemistry Chemical Physics,125,567
2007,Journal of Urology,87,566
2007,Cancer Research,120,565
2007,Lancet Neurology,138,565
2007,New Eng J Med,76,565
2007,Proceedings of the IEEE,86,564
2007,Kidney International,163,564
2007,Nature Biotechnology,19,563
2007,New Eng J Med,71,563
2007,Nature,55,562
2007,Circulation,275,562
2007,Reviews of Modern Physics,64,562
2007,Phys Rev B,46,562
2007,Nature,71,561
2007,PLoS ONE,107,561
2007,Journal of the American Academy of Child and Adolescent Psychiatry,125,561
2007,Annals of Oncology,121,561
2007,PNAS,57,561
2007,Nature protocols,50,560
2007,Nature Materials,29,560
2007,Nature Materials,49,560
2007,Nature Materials,65,560
2007,Science,52,559
2007,Science,64,559
2007,Journal of Biological Chemistry,66,559
2007,Astronomical Journal,87,557
2007,Cancer Research,71,556
2007,Science,75,556
2007,Genome Research,139,555
2007,Nature Genetics,57,555
2007,Reports on Progress in Physics,42,555
2007,New Eng J Med,83,555
2007,Nature Materials,69,555
2007,Molecular Systems Biology,130,554
2007,J Clin Oncol,236,554
2007,PNAS,78,554
2007,PNAS,70,553
2007,Nature,83,553
2007,J Clin Invest,51,553
2007,Cancer Cell,122,553
2007,Nature Materials,61,552
2007,Journal of the American Medical Association,117,552
2007,Physical Chemistry Chemical Physics,47,551
2007,Nature,81,550
2007,New Eng J Med,68,550
2007,Journal of the American Medical Association,72,550
2007,Nature,75,549
2007,Annual Review of Psychology,50,549
2007,MIS Quarterly: Management Information Systems,63,548
2007,Journal of Computational Chemistry,57,548
2007,British Medical Journal,110,546
2007,MIS Quarterly: Management Information Systems,114,545
2007,PNAS,55,543
2007,Cell Metabolism,51,542
2007,New Eng J Med,75,542
2007,ACS Nano,89,542
2007,Journal of Management Information Systems,70,541
2007,Nature Medicine,52,541
2007,Nature Physics,34,541
2007,Science,61,541
2007,Nano Lett,129,540
2007,Archives of Surgery,78,539
2007,Journal of Neuroscience Methods,54,539
2007,Nature,92,539
2007,Lancet,102,539
2007,Journal of Experimental Medicine,109,538
2007,Nature,96,538
2007,Neurology,47,538
2007,Lancet,148,538
2007,Nature,62,538
2007,American Journal of Kidney Diseases,112,538
2007,PNAS,76,537
2007,Nature Nanotechnology,65,536
2007,New Eng J Med,93,536
2007,Analytical Chemistry,81,536
2007,Applied Mathematics and Computation,70,536
2007,Nature Genetics,102,536
2007,Journal of Econometrics,85,536
2007,Nature Immunology,115,535
2007,Science,50,535
2007,American Journal of Ophthalmology,153,535
2007,Bioinformatics,92,535
2007,New Eng J Med,73,534
2007,Journal of High Energy Physics,44,533
2007,Angew Chem Int Ed,77,533
2007,J Mater Chem,43,532
2007,Publications of the Astronomical Society of Japan,48,532
2007,Radiology,68,532
2007,Journal of Cell Biology,64,532
2007,Nature Genetics,116,532
2007,Biostatistics,83,532
2007,Nature Genetics,126,532
2007,Genes and Development,64,531
2007,Journal of Biological Chemistry,75,531
2007,Nature Genetics,40,531
2007,Nature Neuroscience,69,530
2007,VLDB Journal,76,530
2007,Radiation Research,58,530
2007,Nature Cell Biology,76,529
2007,Nature Genetics,75,529
2007,PNAS,88,529
2007,J Clin Invest,90,529
2007,Pattern Recognition,67,529
2007,Journal of Statistical Software,65,527
2007,Nature Biotechnology,122,527
2007,Small,49,526
2007,"Astrophys J, Supplement Series",46,526
2007,Astrophys J,116,526
2007,Science,93,526
2007,New Eng J Med,55,526
2007,Journal of Immunology,161,525
2007,Geophysical Research Letters,129,525
2007,Nature Nanotechnology,99,525
2007,Lancet,87,524
2007,Nucleic Acids Research,71,524
2007,Nature Medicine,69,522
2007,World Journal of Gastroenterology,43,522
2007,PNAS,47,521
2007,Journal of the American Ceramic Society,45,521
2007,Science,48,521
2007,Academy of Management Journal,28,521
2007,J Am Coll Cardiol,107,520
2007,Astrophys J,101,520
2007,Nature Genetics,120,520
2007,New Eng J Med,63,519
2007,American Economic Review,68,519
2007,Phys Rev B,39,519
2007,American Journal of Botany,147,519
2007,PNAS,145,518
2007,Astrophys J,88,518
2007,British Journal of Cancer,116,518
2007,Nature Medicine,51,517
2007,Accounts of Chemical Research,107,517
2007,Optics Express,73,517
2007,Cell,70,516
2007,Methods in Molecular Biology,43,516
2007,Chem Comm,55,515
2007,Nature,85,514
2007,Nature,72,514
2007,Publications of the Astronomical Society of Japan,28,514
2007,Phys Rev B,65,514
2007,Science,55,513
2007,Annual Review of Physical Chemistry,42,512
2007,Nature Genetics,96,512
2007,Applied Physics Letters,23,510
2007,J Phys Chem C,85,510
2007,Neuropsychologia,126,510
2007,Cell,96,508
2007,Science,91,508
2007,Cerebrovascular Diseases,247,508
2007,European Journal of Immunology,75,508
2007,Circulation,136,508
2007,J Am Coll Cardiol,95,507
2007,Cancer Research,167,507
2007,Nature Medicine,105,507
2007,Journal of Neuroscience,149,507
2007,Accounts of Chemical Research,28,506
2007,J Am Chem Soc,139,506
2007,Psychological Methods,110,506
2007,Nature Nanotechnology,53,505
2007,Applied Physics Letters,61,505
2007,Science of the Total Environment,61,505
2007,Science,84,505
2007,Nature Reviews Microbiology,54,504
2007,PNAS,68,504
2007,Cell,75,503
2007,Nature,77,503
2007,PLoS Genetics,110,503
2007,Information Sciences,32,502
2007,Immunity,136,501
2007,ACM Transactions on the Web,79,499
2007,Cell,65,498
2007,Atmospheric Chemistry and Physics,86,498
2007,Bioinformatics,77,497
2007,Science,80,497
2007,Cell,83,497
2007,Cell Metabolism,128,496
2007,Journal of Materials Science,51,496
2007,PNAS,89,496
2007,J Clin Oncol,116,495
2007,Science,65,495
2007,Science,57,495
2007,Nature Biotechnology,93,495
2007,Nature,34,495
2007,Cell,101,494
2007,Science,79,494
2007,Circulation,122,494
2007,Optics Letters,48,494
2007,Nature Biotechnology,86,493
2007,Molecular Cell,113,493
2007,Nucleic Acids Research,49,493
2007,Nature Medicine,105,493
2007,J Phys Chem C,88,493
2007,Nature Medicine,101,492
2007,J Clin Invest,88,492
2007,Acta Neuropathologica,154,492
2007,Journal of the American Society for Information Science and Technology,47,492
2007,Accounts of Chemical Research,109,491
2007,Advanced Materials,54,491
2007,PLoS biology,54,490
2007,Functional Ecology,116,490
2007,IEEE Transactions on Wireless Communications,61,490
2007,Journal of Geophysical Research: Solid Earth,147,489
2007,PNAS,60,489
2007,Nature Medicine,92,488
2007,IEEE Transactions on Multimedia,52,487
2007,Journal of Climate,66,487
2007,Gastroenterology,85,487
2007,Astrophys J,153,487
2007,Applied Physics Letters,65,486
2007,Toxicology Letters,126,486
2007,Science,56,484
2007,PNAS,24,484
2007,Lancet,145,483
2007,Accounts of Chemical Research,120,483
2007,Circulation,111,483
2007,Stem Cells,85,482
2007,Clinical Infectious Diseases,139,482
2007,Annual Review of Physical Chemistry,43,482
2007,Circulation,96,482
2007,Plant Journal,146,482
2007,Oecologia,116,481
2007,Science,99,480
2007,Lancet Oncology,131,480
2007,IEEE Transactions on Wireless Communications,87,480
2007,Cell,101,479
2007,Applied Physics Letters,58,479
2007,Current Biology,104,479
2007,J Clin Invest,106,479
2007,Nature Immunology,125,478
2007,IEEE Electron Device Letters,30,478
2007,IEEE Transactions on Wireless Communications,74,477
2007,Proceedings of the IEEE,64,477
2007,Lancet,76,476
2007,Neuroepidemiology,86,476
2007,Phys Rev B,27,476
2007,Cell,63,476
2007,Nature Medicine,98,475
2007,Chemical Society Reviews,83,475
2007,Nano Today,40,475
2007,Nature,74,475
2007,New Eng J Med,70,474
2007,"Phys Rev D",27,474
2007,Nature Genetics,93,473
2007,Nucleic Acids Research,60,473
2007,Current Biology,67,472
2007,Nature,81,472
2007,Annual Review of Physical Chemistry,41,472
2007,Nature Neuroscience,96,472
2007,Science,73,471
2007,Journal of the American Medical Association,81,471
2007,Nature,111,471
2007,New Eng J Med,76,471
2007,Phys Rev Lett,49,470
2007,British Medical Journal,153,470
2007,Nature,71,469
2007,ACM Transactions on Graphics,45,469
2007,J Am Chem Soc,132,469
2007,IEEE Transactions on Pattern Analysis and Machine Intelligence,97,469
2007,Nano Lett,63,469
2007,Cancer Research,98,469
2007,New Eng J Med,75,469
2007,Nature,58,469
2007,"Astrophys J, Supplement Series",45,468
2007,Cell,96,468
2007,Nature,37,468
2007,Lancet,169,468
2007,New Eng J Med,80,468
2007,Cell Cycle,148,468
2007,PNAS,91,468
2007,Nano Lett,108,468
2007,International Journal of Cancer,71,468
2007,Science,69,467
2007,Journal of the National Cancer Institute,110,467
2007,Nature,60,467
2007,Journal of Biological Inorganic Chemistry,68,467
2007,New Eng J Med,66,466
2007,Astrophys J,100,466
2007,Molecular Cell,69,466
2007,J Am Chem Soc,126,465
2007,Lancet,211,465
2007,Psychological Methods,94,465
2007,IEEE Transactions on Wireless Communications,55,465
2007,Archives of General Psychiatry,109,464
2007,EMBO Journal,84,464
2007,Blood,120,464
2007,Nucleic Acids Research,12,464
2007,Nature,65,463
2007,J Mater Chem,78,463
2007,Acta Materialia,84,463
2007,Nature,93,463
2007,IEEE Transactions on Pattern Analysis and Machine Intelligence,76,462
2007,Nature Photonics,101,462
2007,Accounts of Chemical Research,72,461
2007,Nature,48,461
2007,Science,76,461
2007,Nano Lett,45,461
2007,Circulation,141,461
2007,Nature,83,461
2007,Journal of Applied Econometrics,73,461
2007,American Journal of Psychiatry,64,461
2007,New Eng J Med,51,461
2007,Journal of Molecular Modeling,120,461
2007,Nature,90,460
2007,MNRAS,113,460
2007,Cancer Cell,82,460
2007,Annals of Internal Medicine,101,460
2007,Nano Lett,88,460
2007,Nature Genetics,71,460
2007,"Astrophys J, Supplement Series",54,459
2007,Journal of Marketing Research,91,459
2007,Reviews of Modern Physics,56,458
2007,Cell,98,458
2007,New Eng J Med,79,458
2007,Cell,83,457
2007,Science,75,457
2007,Nature Cell Biology,67,457
2007,Cancer Research,78,457
2007,New Eng J Med,72,457
2007,J Clin Oncol,147,456
2007,Water Research,118,456
2007,PNAS,112,456
2007,J Am Coll Cardiol,108,456
2007,Mechanisms of Ageing and Development,112,456
2007,Journal of Geophysical Research: Oceans,47,455
2007,GLIA,79,455
2007,Nature Nanotechnology,102,455
2007,Genes and Development,117,454
2007,Gut,88,454
2007,IEEE Transactions on Pattern Analysis and Machine Intelligence,28,453
2007,J Phys Chem C,69,453
2007,PNAS,129,453
2007,Nature Biotechnology,95,453
2007,Science,59,453
2007,Science,79,452
2007,Kidney International,73,452
2007,British Journal of Clinical Pharmacology,143,452
2007,New Eng J Med,89,452
2007,J Clin Invest,117,452
2007,BMC Medical Research Methodology,100,451
2007,Cell,95,450
2007,Lancet Oncology,78,450
2007,Osteoporosis International,133,450
2007,Journal of Clinical Endocrinology and Metabolism,132,450
2007,Journal of Physics G: Nuclear and Particle Physics,67,450
2007,"IEEE Transactions on Systems, Man and Cybernetics Part C: Applications and Reviews",29,450
2007,Nature,72,450
2007,Geophysical Research Letters,40,449
2007,Nature Genetics,56,449
2007,Journal of Automated Reasoning,91,449
2007,Nature Medicine,96,449
2007,J Am Coll Cardiol,143,449
2007,Annals of Internal Medicine,85,449
2007,Science,83,449
2007,Science,78,449
2007,Science,87,449
2007,British Journal of Pharmacology,57,448
2007,"Astrophys J, Supplement Series",89,448
